Starting Training
Running training...
Epoch 1, Loss: 0.4354519619986084
Epoch 2, Loss: 0.4344254419526649
Epoch 3, Loss: 0.4337042604914326
Epoch 4, Loss: 0.4237638387067904
Epoch 5, Loss: 0.3552790934446217
Epoch 6, Loss: 0.24141064368461237
Epoch 7, Loss: 0.17641079918273972
Epoch 8, Loss: 0.14256214251002225
Epoch 9, Loss: 0.11878733485537342
Epoch 10, Loss: 0.1017775097366125
Epoch 11, Loss: 0.088984142949688
Epoch 12, Loss: 0.07836088304642636
Epoch 13, Loss: 0.06955253165711014
Epoch 14, Loss: 0.0638268236358124
Epoch 15, Loss: 0.058521326500389874
Epoch 16, Loss: 0.054488330293534004
Epoch 17, Loss: 0.05004235259992978
Epoch 18, Loss: 0.04669523892140052
Epoch 19, Loss: 0.0437154119347684
Epoch 20, Loss: 0.041430661963002845
Epoch 21, Loss: 0.03940377000464777
Epoch 22, Loss: 0.03702086533685371
Epoch 23, Loss: 0.035222241354962595
Epoch 24, Loss: 0.03325705955931286
Epoch 25, Loss: 0.03136660101582713
Epoch 26, Loss: 0.03162055823006015
Epoch 27, Loss: 0.031031624837594637
Epoch 28, Loss: 0.028685056485237653
Epoch 29, Loss: 0.027268581907389018
Epoch 30, Loss: 0.027051971889246757
Epoch 31, Loss: 0.026687571202655684
Epoch 32, Loss: 0.025789255925672643
Epoch 33, Loss: 0.02462356682090043
Epoch 34, Loss: 0.024318934617737976
Epoch 35, Loss: 0.023718507595391545
Epoch 36, Loss: 0.02390195770301602
Epoch 37, Loss: 0.021724313973051444
Epoch 38, Loss: 0.02251769266078839
Epoch 39, Loss: 0.02201353335508703
Epoch 40, Loss: 0.022385778656281982
Epoch 41, Loss: 0.020260080775162698
Epoch 42, Loss: 0.020404766983318706
Epoch 43, Loss: 0.019447178367254434
Epoch 44, Loss: 0.020547951826626935
Epoch 45, Loss: 0.019494024885107864
Epoch 46, Loss: 0.01982058682250737
Epoch 47, Loss: 0.01848373927186323
Epoch 48, Loss: 0.018630809546699933
Epoch 49, Loss: 0.01837535737314264
Epoch 50, Loss: 0.017839900298943785
Epoch 51, Loss: 0.018741614814649442
Epoch 52, Loss: 0.017605583183016735
Epoch 53, Loss: 0.01814657041891652
Epoch 54, Loss: 0.017488468308076367
Epoch 55, Loss: 0.01601017696926954
Epoch 56, Loss: 0.01766346743750785
Epoch 57, Loss: 0.016221141102389376
Epoch 58, Loss: 0.017728284250029678
Epoch 59, Loss: 0.01565467899989689
Epoch 60, Loss: 0.015871572168871403
Epoch 61, Loss: 0.015450206571081496
Epoch 62, Loss: 0.01541817603468138
Epoch 63, Loss: 0.015055406659696418
Epoch 64, Loss: 0.015406221231560461
Epoch 65, Loss: 0.015063701143671811
Epoch 66, Loss: 0.014827017827173614
Epoch 67, Loss: 0.015057295061561967
Epoch 68, Loss: 0.014291804201343315
Epoch 69, Loss: 0.01427865916869379
Epoch 70, Loss: 0.014553765058095249
Starting Evaluation
Running inference...
Evaluating Submission
### Evaluation Results ###
Row score: 0.754800000
Column score: 0.833600000
Cell score: 0.642200000
Aggregate score: 0.743533333
